#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000.jpg,291763,"{}",2,0,"{""name"":""rect"",""x"":157,""y"":127,""width"":454,""height"":146}","{}"
000.jpg,291763,"{}",2,1,"{""name"":""rect"",""x"":150,""y"":1130,""width"":460,""height"":20}","{}"
001.jpg,145768,"{}",11,0,"{""name"":""rect"",""x"":16,""y"":130,""width"":84,""height"":82}","{}"
001.jpg,145768,"{}",11,1,"{""name"":""rect"",""x"":402,""y"":124,""width"":57,""height"":61}","{}"
001.jpg,145768,"{}",11,2,"{""name"":""rect"",""x"":12,""y"":377,""width"":56,""height"":45}","{}"
001.jpg,145768,"{}",11,3,"{""name"":""rect"",""x"":144,""y"":416,""width"":63,""height"":71}","{}"
001.jpg,145768,"{}",11,4,"{""name"":""rect"",""x"":217,""y"":396,""width"":85,""height"":104}","{}"
001.jpg,145768,"{}",11,5,"{""name"":""rect"",""x"":395,""y"":389,""width"":46,""height"":36}","{}"
001.jpg,145768,"{}",11,6,"{""name"":""rect"",""x"":2,""y"":670,""width"":46,""height"":43}","{}"
001.jpg,145768,"{}",11,7,"{""name"":""rect"",""x"":166,""y"":595,""width"":64,""height"":35}","{}"
001.jpg,145768,"{}",11,8,"{""name"":""rect"",""x"":169,""y"":694,""width"":59,""height"":53}","{}"
001.jpg,145768,"{}",11,9,"{""name"":""rect"",""x"":247,""y"":647,""width"":64,""height"":58}","{}"
001.jpg,145768,"{}",11,10,"{""name"":""rect"",""x"":429,""y"":595,""width"":28,""height"":39}","{}"
002.jpg,454256,"{}",11,0,"{""name"":""rect"",""x"":322,""y"":77,""width"":115,""height"":109}","{}"
002.jpg,454256,"{}",11,1,"{""name"":""rect"",""x"":160,""y"":131,""width"":73,""height"":56}","{}"
002.jpg,454256,"{}",11,2,"{""name"":""rect"",""x"":200,""y"":411,""width"":53,""height"":61}","{}"
002.jpg,454256,"{}",11,3,"{""name"":""rect"",""x"":609,""y"":570,""width"":68,""height"":74}","{}"
002.jpg,454256,"{}",11,4,"{""name"":""rect"",""x"":597,""y"":743,""width"":84,""height"":65}","{}"
002.jpg,454256,"{}",11,5,"{""name"":""rect"",""x"":48,""y"":655,""width"":66,""height"":81}","{}"
002.jpg,454256,"{}",11,6,"{""name"":""rect"",""x"":34,""y"":829,""width"":89,""height"":50}","{}"
002.jpg,454256,"{}",11,7,"{""name"":""rect"",""x"":58,""y"":1016,""width"":94,""height"":74}","{}"
002.jpg,454256,"{}",11,8,"{""name"":""rect"",""x"":341,""y"":1011,""width"":78,""height"":73}","{}"
002.jpg,454256,"{}",11,9,"{""name"":""rect"",""x"":432,""y"":1000,""width"":106,""height"":92}","{}"
002.jpg,454256,"{}",11,10,"{""name"":""rect"",""x"":594,""y"":992,""width"":82,""height"":46}","{}"
003.jpg,334775,"{}",3,0,"{""name"":""rect"",""x"":229,""y"":97,""width"":317,""height"":93}","{}"
003.jpg,334775,"{}",3,1,"{""name"":""rect"",""x"":313,""y"":240,""width"":147,""height"":62}","{}"
003.jpg,334775,"{}",3,2,"{""name"":""rect"",""x"":162,""y"":1115,""width"":459,""height"":44}","{}"
004.jpg,363866,"{}",14,0,"{""name"":""rect"",""x"":68,""y"":97,""width"":97,""height"":65}","{}"
004.jpg,363866,"{}",14,1,"{""name"":""rect"",""x"":194,""y"":76,""width"":110,""height"":106}","{}"
004.jpg,363866,"{}",14,2,"{""name"":""rect"",""x"":338,""y"":138,""width"":82,""height"":117}","{}"
004.jpg,363866,"{}",14,3,"{""name"":""rect"",""x"":653,""y"":81,""width"":110,""height"":145}","{}"
004.jpg,363866,"{}",14,4,"{""name"":""rect"",""x"":54,""y"":464,""width"":107,""height"":90}","{}"
004.jpg,363866,"{}",14,5,"{""name"":""rect"",""x"":191,""y"":456,""width"":99,""height"":94}","{}"
004.jpg,363866,"{}",14,6,"{""name"":""rect"",""x"":46,""y"":216,""width"":84,""height"":72}","{}"
004.jpg,363866,"{}",14,7,"{""name"":""rect"",""x"":337,""y"":700,""width"":24,""height"":61}","{}"
004.jpg,363866,"{}",14,8,"{""name"":""rect"",""x"":596,""y"":462,""width"":103,""height"":111}","{}"
004.jpg,363866,"{}",14,9,"{""name"":""rect"",""x"":617,""y"":647,""width"":82,""height"":80}","{}"
004.jpg,363866,"{}",14,10,"{""name"":""rect"",""x"":584,""y"":865,""width"":102,""height"":34}","{}"
004.jpg,363866,"{}",14,11,"{""name"":""rect"",""x"":430,""y"":1047,""width"":56,""height"":60}","{}"
004.jpg,363866,"{}",14,12,"{""name"":""rect"",""x"":306,""y"":855,""width"":93,""height"":199}","{}"
